NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
206403;2024;23052929;2301406;Aratuba;23;CE;2;1;1;2301406;Aratuba;23;CE;1;1;1;1;436.8;377.8;423.4;427.1;1;1;80;60;60;80;20;300
3604651;2024;42103770;4218004;Tijucas;42;SC;4;1;1;4218004;Tijucas;42;SC;1;1;1;1;521.9;601.9;605.5;689.2;0;1;160;200;200;180;180;920
1461268;2024;NA;NA;;NA;;NA;NA;NA;4122404;Rolândia;41;PR;1;1;1;1;363;548.4;557.2;456.4;1;1;120;120;40;120;80;480
4301058;2024;NA;NA;;NA;;NA;NA;NA;3534401;Osasco;35;SP;1;1;1;1;550.7;553.8;605.9;629.1;0;1;140;200;160;160;80;740
3148322;2024;21150354;2100436;Alto Alegre do Maranhão;21;MA;2;1;1;2111508;São Mateus do Maranhão;21;MA;0;0;0;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1035588;2024;NA;NA;;NA;;NA;NA;NA;2408102;Natal;24;RN;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
3587454;2024;15585689;1501402;Belém;15;PA;4;1;1;1501402;Belém;15;PA;1;2;2;1;486.7;NA;NA;525.1;0;NA;NA;NA;NA;NA;NA;NA
140768;2024;NA;NA;;NA;;NA;NA;NA;2408102;Natal;24;RN;1;1;1;1;482.7;531.6;439.2;496.7;1;1;100;80;60;120;0;360
3541867;2024;NA;NA;;NA;;NA;NA;NA;3156700;Sabará;31;MG;0;2;2;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
3371353;2024;NA;NA;;NA;;NA;NA;NA;3520509;Indaiatuba;35;SP;1;1;1;1;599.5;640.3;597.6;665.3;0;1;120;200;120;120;200;760
377894;2024;NA;NA;;NA;;NA;NA;NA;2504306;Catolé do Rocha;25;PB;1;1;1;1;362.6;436;460;382.4;1;1;100;100;80;100;80;460
3446319;2024;51191024;5107354;São José do Xingu;51;MT;2;2;1;5103353;Confresa;51;MT;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
134650;2024;29088240;2931301;Tapiramutá;29;BA;2;1;1;2921203;Miguel Calmon;29;BA;1;1;1;1;374.6;427;532.7;504;0;1;120;200;140;120;140;720
1620924;2024;NA;NA;;NA;;NA;NA;NA;2910800;Feira de Santana;29;BA;1;1;1;1;402.1;321.4;532.7;506;0;1;100;160;120;120;100;600
